"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"
"HSPA1B"	4.87814844607623e-193	-2.37270034765223	0.517	0.942	1.12919380229773e-188	"Mig"	"HSPA1B"	"male"
"AXL"	8.05020905262014e-105	-1.84215574957209	0.295	0.707	1.86346239150051e-100	"Mig"	"AXL"	"male"
"SAT1"	1.35248052326502e-71	-1.39485727458544	0.542	0.818	3.13072191525387e-67	"Mig"	"SAT1"	"male"
"C6orf62"	1.44786534619995e-70	-1.42415774809665	0.408	0.73	3.35151870338364e-66	"Mig"	"C6orf62"	"male"
"HNRNPH1"	4.77041909324349e-69	-1.11681359040895	0.865	0.968	1.104256611704e-64	"Mig"	"HNRNPH1"	"male"
"TNFRSF13C"	2.08701967132592e-66	-1.88894169351307	0.077	0.34	4.83103313518525e-62	"Mig"	"TNFRSF13C"	"male"
"EGR1"	6.31816900235505e-65	-1.94001423997555	0.027	0.236	1.46252976066515e-60	"Mig"	"EGR1"	"male"
"HAMP"	2.82928646301473e-62	1.96097122778994	0.315	0.038	6.5492323045865e-58	"Mig"	"HAMP"	"male"
"RIN2"	1.08261639035034e-61	-1.42693481388188	0.394	0.702	2.50604042038296e-57	"Mig"	"RIN2"	"male"
"C1QA"	4.49105301525833e-61	1.42840350564625	0.489	0.169	1.039588951972e-56	"Mig"	"C1QA"	"male"
"FGD2"	5.33340607012921e-59	-1.37134508800813	0.536	0.755	1.23457683711351e-54	"Mig"	"FGD2"	"male"
"CD14"	1.05494875846811e-57	1.81562857748115	0.339	0.062	2.44199538610198e-53	"Mig"	"CD14"	"male"
"DHRS3"	1.14836234940651e-57	-1.59977462659288	0.169	0.45	2.6582291664062e-53	"Mig"	"DHRS3"	"male"
"C1QB"	5.05091171522032e-56	1.03929028337498	0.669	0.347	1.1691850438392e-51	"Mig"	"C1QB"	"male"
"SRSF6"	1.54426681062878e-55	-1.20896313788965	0.637	0.833	3.57466881324351e-51	"Mig"	"SRSF6"	"male"
"APOE"	4.80942388103164e-55	1.49195574312268	0.446	0.147	1.1132854399812e-50	"Mig"	"APOE"	"male"
"UBA6"	1.15891044197068e-53	-2.21089466346206	0.054	0.261	2.68264589107373e-49	"Mig"	"UBA6"	"male"
"C3"	4.14786857031324e-48	0.72875348978959	0.715	0.408	9.6014861665611e-44	"Mig"	"C3"	"male"
"SRGAP2B"	3.34256232930893e-47	-1.12682912042412	0.689	0.802	7.73736327988431e-43	"Mig"	"SRGAP2B"	"male"
"SRGAP2C"	2.59551228862429e-45	-1.0790778917272	0.681	0.817	6.00809184570752e-41	"Mig"	"SRGAP2C"	"male"
"B2M"	7.64200085631658e-45	0.799772969093254	0.754	0.476	1.76897035822016e-40	"Mig"	"B2M"	"male"
"RNASET2"	1.322097352446e-44	0.881535075511366	0.623	0.346	3.06039095144199e-40	"Mig"	"RNASET2"	"male"
"HLA-C"	1.701360838677e-44	1.14711535683278	0.349	0.102	3.93831006936952e-40	"Mig"	"HLA-C"	"male"
"ND4"	1.007687812311e-42	0.949430195607623	0.654	0.389	2.3325957479375e-38	"Mig"	"ND4"	"male"
"HLA-B"	1.54406694948503e-42	1.02685885828534	0.525	0.257	3.57420617466794e-38	"Mig"	"HLA-B"	"male"
"SRSF3"	3.40968321812341e-42	-1.29078840260485	0.344	0.61	7.89273471331207e-38	"Mig"	"SRSF3"	"male"
"MAF"	2.50663033109585e-41	-1.13606101347339	0.503	0.733	5.80234789042068e-37	"Mig"	"MAF"	"male"
"ND5"	6.44034093629595e-41	1.35647808940489	0.41	0.156	1.49081011993379e-36	"Mig"	"ND5"	"male"
"MARCHF6"	1.62534546240855e-40	-1.31516469482729	0.128	0.348	3.76234967638331e-36	"Mig"	"MARCHF6"	"male"
"PER2"	6.55973061682437e-40	-2.02321986721812	0.025	0.166	1.5184464431825e-35	"Mig"	"PER2"	"male"
"ITGAX"	2.24464964577826e-39	-1.08993469865767	0.631	0.811	5.19591500004752e-35	"Mig"	"ITGAX"	"male"
"COX2"	2.06448325165146e-38	1.00863650967767	0.545	0.289	4.7788658309228e-34	"Mig"	"COX2"	"male"
"MTCO2P12"	2.489604178272e-37	0.813782129951981	0.406	0.156	5.76293575186403e-33	"Mig"	"MTCO2P12"	"male"
"PSMG3"	5.53817472995211e-37	-2.12747864571821	0.036	0.18	1.28197668648932e-32	"Mig"	"PSMG3"	"male"
"TRA2A"	9.559142616161e-37	-1.23638549280191	0.45	0.679	2.21275033278895e-32	"Mig"	"TRA2A"	"male"
"HLA-DRB5"	5.59755341258518e-36	1.01299973464872	0.319	0.102	1.29572166394522e-31	"Mig"	"HLA-DRB5"	"male"
"TSPYL1"	1.33831629450991e-35	-1.27970073895286	0.178	0.396	3.09793455853154e-31	"Mig"	"TSPYL1"	"male"
"FNIP1"	5.59511609393738e-35	-1.51222427317554	0.07	0.237	1.29515747342463e-30	"Mig"	"FNIP1"	"male"
"MTATP6P1"	1.78813555746117e-34	0.84240584447637	0.447	0.211	4.1391761884111e-30	"Mig"	"MTATP6P1"	"male"
"BIN1"	3.42590035988253e-34	1.70401702512144	0.272	0.078	7.93027415305609e-30	"Mig"	"BIN1"	"male"
"FTH1P10"	5.63515266449352e-34	0.908405893533901	0.344	0.124	1.30442513877696e-29	"Mig"	"FTH1P10"	"male"
"SRGAP2"	9.21287832936245e-34	-0.823539142098612	0.742	0.828	2.13259707568082e-29	"Mig"	"SRGAP2"	"male"
"COLGALT1"	8.00568711539054e-33	-1.44524066055398	0.137	0.33	1.8531564534706e-28	"Mig"	"COLGALT1"	"male"
"RNA5SP151"	2.99245532044944e-32	-1.65334761344374	0.101	0.273	6.92693557577635e-28	"Mig"	"RNA5SP151"	"male"
"ATP8"	3.79355483389086e-32	1.42766721905489	0.364	0.156	8.78132072949056e-28	"Mig"	"ATP8"	"male"
"ARPC4"	6.34725066118653e-32	-1.23842713565596	0.299	0.52	1.46926158305146e-27	"Mig"	"ARPC4"	"male"
"POU2F2"	7.20743237580413e-32	1.64784851263887	0.204	0.038	1.66837644635114e-27	"Mig"	"POU2F2"	"male"
"PAN3"	1.49058933343071e-31	-1.28161909393447	0.127	0.314	3.45041618902541e-27	"Mig"	"PAN3"	"male"
"ATP6"	3.15031669272808e-31	0.918583774567676	0.552	0.334	7.29235308032697e-27	"Mig"	"ATP6"	"male"
"FTH1P2"	2.0428859341907e-30	0.528453226127657	0.285	0.091	4.72887236046464e-26	"Mig"	"FTH1P2"	"male"
"FCGR1B"	2.0551407293876e-30	0.970584324172732	0.328	0.128	4.75723976038641e-26	"Mig"	"FCGR1B"	"male"
"ENPP1"	3.44597164179886e-30	-1.39923788143006	0.044	0.177	7.976735156436e-26	"Mig"	"ENPP1"	"male"
"FTL"	5.25178390014096e-30	0.641115880267287	0.789	0.601	1.21568293720463e-25	"Mig"	"FTL"	"male"
"CNOT9"	1.03115198347588e-29	-1.30372975340261	0.086	0.247	2.38691061134996e-25	"Mig"	"CNOT9"	"male"
"FCGR1A"	1.88724474958055e-29	1.04503441021762	0.33	0.131	4.36859414632907e-25	"Mig"	"FCGR1A"	"male"
"CDC42"	1.94390976237389e-29	-0.966593960554461	0.358	0.591	4.49976231794308e-25	"Mig"	"CDC42"	"male"
"MTCO2P2"	9.03463990954316e-29	0.48153967207236	0.306	0.106	2.09133844626105e-24	"Mig"	"MTCO2P2"	"male"
"NEAT1"	2.74787780277861e-28	0.443625642680401	0.741	0.531	6.36078753787193e-24	"Mig"	"NEAT1"	"male"
"HLA-DRB1"	1.449649967871e-27	0.796497865913112	0.468	0.259	3.35564974562779e-23	"Mig"	"HLA-DRB1"	"male"
"COX3"	2.05396010250583e-27	0.889770266480039	0.558	0.346	4.75450684528049e-23	"Mig"	"COX3"	"male"
"RBM6"	2.94766848288771e-27	-0.974183437624053	0.446	0.659	6.82326300418847e-23	"Mig"	"RBM6"	"male"
"HLA-DPA1"	3.33130596701318e-27	0.878104123816858	0.346	0.154	7.7113070524421e-23	"Mig"	"HLA-DPA1"	"male"
"CHP1"	4.67962449760568e-27	-1.29779874350561	0.15	0.324	1.08323947870576e-22	"Mig"	"CHP1"	"male"
"TMSB10"	6.24138130121861e-27	1.05434713104092	0.305	0.121	1.44475494360608e-22	"Mig"	"TMSB10"	"male"
"CACUL1"	1.67566662837871e-26	-1.29462703743363	0.059	0.191	3.87883311137104e-22	"Mig"	"CACUL1"	"male"
"PFN1"	1.81657969831354e-26	0.999291802061068	0.279	0.102	4.20501868565618e-22	"Mig"	"PFN1"	"male"
"MTCO3P12"	5.38944185601308e-26	0.543471456074044	0.353	0.153	1.24754800082991e-21	"Mig"	"MTCO3P12"	"male"
"PAQR7"	9.83606629436558e-26	-1.35450555706669	0.142	0.309	2.27685262581974e-21	"Mig"	"PAQR7"	"male"
"TPT1"	1.30935662698817e-25	0.58147568241591	0.549	0.343	3.03089872015221e-21	"Mig"	"TPT1"	"male"
"PRXL2C"	2.19322862556109e-25	-1.25034262666941	0.069	0.206	5.0768856224488e-21	"Mig"	"PRXL2C"	"male"
"SLC35F6"	2.3441660126837e-25	-1.30730184412612	0.073	0.21	5.42627548616023e-21	"Mig"	"SLC35F6"	"male"
"FCGR1CP"	4.15152515192131e-25	0.826104835768597	0.292	0.115	9.60995042166744e-21	"Mig"	"FCGR1CP"	"male"
"CYBB"	1.70259977132124e-24	-0.623154126119696	0.916	0.969	3.94117795065442e-20	"Mig"	"CYBB"	"male"
"BHLHE41"	4.38539471025426e-24	0.470086899276787	0.552	0.342	1.01513116752966e-19	"Mig"	"BHLHE41"	"male"
"R3HDM2"	5.12903392703162e-24	-0.986490939077544	0.173	0.347	1.18726877342928e-19	"Mig"	"R3HDM2"	"male"
"SLC25A37"	2.07431418823234e-23	-0.762099534837686	0.265	0.454	4.80162248292022e-19	"Mig"	"SLC25A37"	"male"
"SERF2"	5.08086111372509e-23	0.64581228055445	0.362	0.179	1.17611773060508e-18	"Mig"	"SERF2"	"male"
"S100A11"	5.56227059314441e-23	0.703277382170892	0.286	0.113	1.28755439690107e-18	"Mig"	"S100A11"	"male"
"CASP2"	6.00314604974424e-23	-1.3733767013052	0.06	0.182	1.3896082475948e-18	"Mig"	"CASP2"	"male"
"SLC1A3"	1.05841837176339e-22	0.952417143940921	0.368	0.188	2.45002684695789e-18	"Mig"	"SLC1A3"	"male"
"GOLIM4"	1.15283400748867e-22	-0.973113007622493	0.17	0.339	2.66858016053478e-18	"Mig"	"GOLIM4"	"male"
"SLC2A5"	1.72415939721296e-22	0.86127921001827	0.273	0.113	3.99108417266857e-18	"Mig"	"SLC2A5"	"male"
"CLK1"	1.96763744421367e-22	-1.02966726596528	0.183	0.353	4.5546871558658e-18	"Mig"	"CLK1"	"male"
"MTND1P23"	2.5519623604856e-22	1.17319375614078	0.27	0.111	5.90728247205208e-18	"Mig"	"MTND1P23"	"male"
"DENND3"	2.66683444655972e-22	1.07361244949634	0.193	0.056	6.17318837689643e-18	"Mig"	"DENND3"	"male"
"FAM157A"	2.75275986451564e-22	0.722362891096853	0.17	0.041	6.3720885343808e-18	"Mig"	"FAM157A"	"male"
"RAC1"	3.1199253795855e-22	0.885974293905088	0.291	0.126	7.22200326866451e-18	"Mig"	"RAC1"	"male"
"MTND4P12"	3.78479719319201e-22	0.48794129266723	0.213	0.07	8.76104854280087e-18	"Mig"	"MTND4P12"	"male"
"EIF2S3"	4.27049726423164e-22	-1.03917590284842	0.272	0.454	9.88534706724339e-18	"Mig"	"EIF2S3"	"male"
"PAFAH1B2"	4.89143404566169e-22	-1.23159093858372	0.067	0.189	1.13226915288977e-17	"Mig"	"PAFAH1B2"	"male"
"COL6A3"	6.05600675221217e-22	-1.29447187785868	0.814	0.86	1.40184444300207e-17	"Mig"	"COL6A3"	"male"
"MKNK1"	8.13300510242897e-22	-1.24614356863474	0.209	0.379	1.88262802111026e-17	"Mig"	"MKNK1"	"male"
"CCNDBP1"	1.08359425591931e-21	-1.18463964144029	0.083	0.216	2.50830398360202e-17	"Mig"	"CCNDBP1"	"male"
"ND1"	1.25465178510588e-21	1.3672871891699	0.326	0.163	2.9042679521631e-17	"Mig"	"ND1"	"male"
"PTMA"	1.44291412119937e-21	0.733959467562337	0.489	0.313	3.34005760775229e-17	"Mig"	"PTMA"	"male"
"SCIN"	2.04314518613934e-21	0.44101085762574	0.442	0.264	4.72947247687534e-17	"Mig"	"SCIN"	"male"
"PSAP"	5.19400827181688e-21	0.588643881045503	0.483	0.292	1.20230903476017e-16	"Mig"	"PSAP"	"male"
"FPR1"	7.16285387031996e-21	1.3633458759982	0.181	0.053	1.65805741390166e-16	"Mig"	"FPR1"	"male"
"APOBEC3C"	2.51198073820232e-20	-1.02830167308953	0.196	0.357	5.81473301279073e-16	"Mig"	"APOBEC3C"	"male"
"APOC1"	3.57825603904392e-20	1.07575982854475	0.193	0.063	8.28294707917886e-16	"Mig"	"APOC1"	"male"
"WTAP"	4.77124782827963e-20	-0.912406225849864	0.346	0.522	1.10444844729017e-15	"Mig"	"WTAP"	"male"
"EPB41L2"	6.1324096347898e-20	1.03212461344294	0.279	0.126	1.41953018226114e-15	"Mig"	"EPB41L2"	"male"
"HLA-A"	6.89882922957682e-20	0.92544314013395	0.25	0.106	1.59694099006244e-15	"Mig"	"HLA-A"	"male"
"FLCN"	9.4635501853956e-20	-1.28080795942602	0.29	0.45	2.19062259691537e-15	"Mig"	"FLCN"	"male"
"PSMA3-AS1"	9.57733967006676e-20	-1.44415230775897	0.301	0.451	2.21696258682705e-15	"Mig"	"PSMA3-AS1"	"male"
"FCGR3B"	1.14218390500117e-19	0.428916353616553	0.259	0.107	2.6439273032967e-15	"Mig"	"FCGR3B"	"male"
"MEF2A"	1.20546990947232e-19	0.778933369769642	0.314	0.154	2.79042174644654e-15	"Mig"	"MEF2A"	"male"
"LOC729998"	1.55279316495796e-19	0.661707671943257	0.143	0.032	3.59440561824469e-15	"Mig"	"LOC729998"	"male"
"VSIG4"	1.61764993152632e-19	0.53402661556414	0.258	0.108	3.74453606149712e-15	"Mig"	"VSIG4"	"male"
"RASGEF1B"	2.27921046589572e-19	-1.04261450882064	0.061	0.171	5.27591638645542e-15	"Mig"	"RASGEF1B"	"male"
"NPC2"	2.67169293363644e-19	1.16523672181934	0.258	0.113	6.18443480278164e-15	"Mig"	"NPC2"	"male"
"EYA3"	2.98585346101424e-19	-1.22040027985113	0.028	0.114	6.91165359155575e-15	"Mig"	"EYA3"	"male"
"AIF1"	3.04074695291607e-19	0.535535552053945	0.484	0.301	7.03872104661011e-15	"Mig"	"AIF1"	"male"
"RGS1"	6.33184229354405e-19	1.13324590638875	0.169	0.049	1.46569485410958e-14	"Mig"	"RGS1"	"male"
"RHBDF2"	7.66060078045372e-19	0.618634804534336	0.26	0.116	1.77327586865943e-14	"Mig"	"RHBDF2"	"male"
"SENP5"	7.73744571121428e-19	-1.03037829742413	0.073	0.188	1.79106393323188e-14	"Mig"	"SENP5"	"male"
"SPP1"	7.95891994141314e-19	0.370881998295971	0.761	0.601	1.84233078803831e-14	"Mig"	"SPP1"	"male"
"TGFBR1"	1.10238854997399e-18	0.807465624337781	0.294	0.143	2.55180901547978e-14	"Mig"	"TGFBR1"	"male"
"MDM4"	1.4418087483052e-18	-0.893230040695943	0.311	0.469	3.33749889057687e-14	"Mig"	"MDM4"	"male"
"CDC42SE2"	2.71599650040328e-18	-0.704219999416413	0.171	0.324	6.28698869913351e-14	"Mig"	"CDC42SE2"	"male"
"PTMAP5"	3.02719655831551e-18	0.235742887091133	0.428	0.258	7.00735459318875e-14	"Mig"	"PTMAP5"	"male"
"C1QC"	3.11758404707299e-18	0.376853730136853	0.746	0.603	7.21658355216455e-14	"Mig"	"C1QC"	"male"
"HSPA5"	4.22803038939873e-18	0.856269230714998	0.209	0.08	9.78704474538019e-14	"Mig"	"HSPA5"	"male"
"MS4A6A"	5.09119338188473e-18	0.768319946885407	0.246	0.105	1.17850944403868e-13	"Mig"	"MS4A6A"	"male"
"TMED4"	1.02777134699216e-17	-0.951403445199334	0.266	0.422	2.37908511401744e-13	"Mig"	"TMED4"	"male"
"LAPTM5"	1.31463810997423e-17	0.705891741718891	0.411	0.252	3.04312429696836e-13	"Mig"	"LAPTM5"	"male"
"CD63"	2.55652406265679e-17	1.24956751996347	0.203	0.08	5.91784190023795e-13	"Mig"	"CD63"	"male"
"GIGYF1"	2.87566894205348e-17	-0.837707279493886	0.079	0.189	6.6565984670654e-13	"Mig"	"GIGYF1"	"male"
"FGL2"	2.97288216682272e-17	0.973550813632045	0.263	0.129	6.88162763976124e-13	"Mig"	"FGL2"	"male"
"LAP3"	4.1935975747434e-17	0.947510735575339	0.153	0.045	9.70733966601602e-13	"Mig"	"LAP3"	"male"
"HLA-DRB6"	6.03832054089512e-17	0.596328817876041	0.188	0.068	1.3977504388064e-12	"Mig"	"HLA-DRB6"	"male"
"ANKRD44"	7.46680876405969e-17	-0.990237869195505	0.193	0.332	1.72841689270454e-12	"Mig"	"ANKRD44"	"male"
"CD74"	7.95765587707873e-17	0.358437268715824	0.907	0.805	1.84203818242619e-12	"Mig"	"CD74"	"male"
"ETNK1"	7.95774169208515e-17	-0.912937901798789	0.202	0.346	1.84205804688387e-12	"Mig"	"ETNK1"	"male"
"ANKRD10"	8.16357685433298e-17	-0.849420089582346	0.219	0.369	1.889704770241e-12	"Mig"	"ANKRD10"	"male"
"SOX4"	1.24940700199939e-16	-1.321602511769	0.041	0.127	2.89212732822818e-12	"Mig"	"SOX4"	"male"
"NEDD9"	1.73156565053895e-16	-0.0194715493482296	0.072	0.175	4.00822816786757e-12	"Mig"	"NEDD9"	"male"
