"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"
"MALAT1"	2.43160713022645e-60	-0.522946244741966	0.992526856609061	0.999173553719008	7.28509496215845e-56	"Ast"	"MALAT1"	"male"
"GLUL"	1.7733862957163e-40	0.919681691878269	0.685660906118636	0.595867768595041	5.31306534196604e-36	"Ast"	"GLUL"	"male"
"APOE"	5.71237592093185e-37	1.16380524542697	0.533395609528258	0.383471074380165	1.71142782591118e-32	"Ast"	"APOE"	"male"
"PPP2R2B"	2.39743081043546e-36	-0.615461992878393	0.577300326950023	0.735537190082645	7.18270270806462e-32	"Ast"	"PPP2R2B"	"male"
"KANSL1"	7.38064290392557e-33	-0.681334030997988	0.170014012143858	0.352892561983471	2.2112406140161e-28	"Ast"	"KANSL1"	"male"
"LSAMP"	3.29054550473191e-29	-0.341245722987095	0.923400280242877	0.944628099173554	9.85847433217681e-25	"Ast"	"LSAMP"	"male"
"CTNNA2"	1.0039460692432e-27	-0.404197384600763	0.834656702475479	0.879338842975207	3.00782242345263e-23	"Ast"	"CTNNA2"	"male"
"RP11-597D13.9"	2.00333279853025e-27	-0.619989258706449	0.0597851471275105	0.18099173553719	6.00198506439663e-23	"Ast"	"RP11-597D13.9"	"male"
"NPAS3"	2.56785212765308e-27	-0.385784250112379	0.81317141522653	0.85702479338843	7.69328497444863e-23	"Ast"	"NPAS3"	"male"
"PCDH9"	9.14793845723275e-27	-0.362421742435376	0.873423633815974	0.900826446280992	2.74072236178693e-22	"Ast"	"PCDH9"	"male"
"NRG3"	3.2611331931017e-26	-0.386726470068322	0.767398411957029	0.825619834710744	9.77035504653269e-22	"Ast"	"NRG3"	"male"
"CLU"	9.67257364308992e-26	0.869307826592034	0.593180756655768	0.508264462809917	2.89790306346974e-21	"Ast"	"CLU"	"male"
"LRP4"	4.87516335721762e-25	0.684252441156311	0.625875758991126	0.502479338842975	1.4605989418224e-20	"Ast"	"LRP4"	"male"
"PITPNC1"	6.59373290928834e-25	-0.491807659877756	0.597384399813171	0.705785123966942	1.97548237962279e-20	"Ast"	"PITPNC1"	"male"
"RORA"	1.64321306882507e-24	-0.448803087535157	0.707146193367585	0.78099173553719	4.92306635419992e-20	"Ast"	"RORA"	"male"
"LSAMP-AS1"	2.08616952131616e-23	-0.557662809986645	0.205978514712751	0.370247933884297	6.25016388586321e-19	"Ast"	"LSAMP-AS1"	"male"
"MIR99AHG"	3.31295097495115e-23	-0.414789256667676	0.633348902382064	0.752892561983471	9.92560112095364e-19	"Ast"	"MIR99AHG"	"male"
"ZNRF3"	4.77944731041588e-22	-0.579411819880875	0.367585240541803	0.540495867768595	1.4319224142006e-17	"Ast"	"ZNRF3"	"male"
"AHCYL2"	7.1626228265292e-22	-0.559154475906484	0.319009808500701	0.487603305785124	2.14592179882815e-17	"Ast"	"AHCYL2"	"male"
"DPP10"	7.80688292327762e-22	-0.637801904615348	0.461466604390472	0.630578512396694	2.33894212381397e-17	"Ast"	"DPP10"	"male"
"LINC00499"	1.97289776345737e-21	-0.558169476830387	0.222793087342363	0.383471074380165	5.91080169931829e-17	"Ast"	"LINC00499"	"male"
"SLC14A1"	2.27565699097191e-21	-0.633812413411141	0.184960298925736	0.332231404958678	6.81786834495184e-17	"Ast"	"SLC14A1"	"male"
"CST3"	2.34706339587475e-21	0.778464760324395	0.584306398879028	0.499173553719008	7.03180193404076e-17	"Ast"	"CST3"	"male"
"GPR37L1"	1.40639329204566e-20	1.1939325583794	0.311536665109762	0.181818181818182	4.21355430296879e-16	"Ast"	"GPR37L1"	"male"
"NHSL1"	1.8501389177428e-20	-0.467505768589373	0.287716020551144	0.460330578512397	5.54301619755744e-16	"Ast"	"NHSL1"	"male"
"ACTB"	8.21209244391029e-20	0.767007596800714	0.319009808500701	0.178512396694215	2.46034289619552e-15	"Ast"	"ACTB"	"male"
"NRGN"	1.32080875572684e-19	0.859057713168318	0.216721158337226	0.0925619834710744	3.95714303215763e-15	"Ast"	"NRGN"	"male"
"PSAP"	2.37176403073924e-19	0.836259134914353	0.394675385333956	0.264462809917355	7.10580503609475e-15	"Ast"	"PSAP"	"male"
"TRPS1"	5.26775485406903e-19	-0.47874162576013	0.418963101354507	0.573553719008264	1.57821935427908e-14	"Ast"	"TRPS1"	"male"
"CDH20"	6.07570940842597e-19	-0.447518438306594	0.503035964502569	0.645454545454546	1.82028253876442e-14	"Ast"	"CDH20"	"male"
"SNAP25"	1.4008796290199e-18	0.78503317659672	0.309668379262027	0.176859504132231	4.19703536854362e-14	"Ast"	"SNAP25"	"male"
"CSGALNACT1"	2.51080485898511e-18	-0.423573892614052	0.278841662774404	0.435537190082645	7.52237135751938e-14	"Ast"	"CSGALNACT1"	"male"
"WWOX"	2.53780691955977e-18	-0.389684858890341	0.546940681924334	0.696694214876033	7.60326953100108e-14	"Ast"	"WWOX"	"male"
"NRXN1"	1.08347371164459e-17	-0.288210484912999	0.847267631947688	0.869421487603306	3.24608724008719e-13	"Ast"	"NRXN1"	"male"
"ST6GALNAC3"	1.66750218485886e-17	-0.583404318420661	0.0737972909855208	0.171900826446281	4.99583654583716e-13	"Ast"	"ST6GALNAC3"	"male"
"GRAMD3"	2.91287903816301e-17	-0.408138962584291	0.286781877627277	0.442148760330579	8.72698559833637e-13	"Ast"	"GRAMD3"	"male"
"MAGI2"	2.95956356928638e-17	-0.355602356722064	0.634283045305932	0.747107438016529	8.866852453582e-13	"Ast"	"MAGI2"	"male"
"DGKB"	6.28175192539787e-17	-0.553695620163431	0.0672582905184493	0.159504132231405	1.8820128768492e-12	"Ast"	"DGKB"	"male"
"CTNND2"	7.12684427899914e-17	-0.29988975134133	0.684259691732835	0.765289256198347	2.13520254598814e-12	"Ast"	"CTNND2"	"male"
"LRRC37A3"	7.61996237046274e-17	-0.547173064612025	0.0943484353106025	0.198347107438017	2.28294072619064e-12	"Ast"	"LRRC37A3"	"male"
"RP11-3B12.2"	9.19178018177952e-17	-0.323892838489505	0.0439047174217655	0.123140495867769	2.75385734246114e-12	"Ast"	"RP11-3B12.2"	"male"
"AGT"	2.07457248519297e-16	0.892488094084059	0.248949089210649	0.136363636363636	6.21541916563813e-12	"Ast"	"AGT"	"male"
"FBXL7"	2.22587238789316e-16	-0.397711274587886	0.452125175151798	0.607438016528926	6.66871367412791e-12	"Ast"	"FBXL7"	"male"
"ACOT11"	2.87784922769716e-16	-0.363100538509634	0.140588510042036	0.262809917355372	8.62203628618069e-12	"Ast"	"ACOT11"	"male"
"LRP1B"	2.92199623968719e-16	-0.369920519364679	0.730966837926203	0.763636363636364	8.75430073410283e-12	"Ast"	"LRP1B"	"male"
"PBX1"	3.04632506939948e-16	-0.388288418858442	0.280242877160206	0.435537190082645	9.12678990792083e-12	"Ast"	"PBX1"	"male"
"LINGO1"	4.60721622828766e-16	0.917822440425216	0.615133115366651	0.564462809917355	1.38032198199498e-11	"Ast"	"LINGO1"	"male"
"ARID1B"	6.20568474269218e-16	-0.395886193094944	0.248482017748716	0.392561983471074	1.85922314891058e-11	"Ast"	"ARID1B"	"male"
"ARL17B"	6.23366827169732e-16	-0.463331010987659	0.0938813638486689	0.194214876033058	1.86760701420052e-11	"Ast"	"ARL17B"	"male"
"EPHA6"	6.25995476947435e-16	-0.413100944909229	0.162073797290986	0.286776859504132	1.87548244893452e-11	"Ast"	"EPHA6"	"male"
"ZHX3"	7.12479289104182e-16	-0.378191268321711	0.249883232134517	0.395867768595041	2.13458795015613e-11	"Ast"	"ZHX3"	"male"
"GPM6A"	8.68159667490506e-16	-0.252488259841812	0.863148061653433	0.892561983471074	2.60100636380156e-11	"Ast"	"GPM6A"	"male"
