"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"PPP2R2B"	0.000146530041489249	-1.70638967348963	0.533	1	1	"Ast"	"PPP2R2B"	"Cerebellar Hemisphere"
"STXBP5L"	0.00125939300274483	-2.23153804956351	0.067	0.684	1	"Ast"	"STXBP5L"	"Cerebellar Hemisphere"
"DPP10"	0.00319234116425773	5.36172261379915	0.4	0	1	"Ast"	"DPP10"	"Cerebellar Hemisphere"
"MEG3"	0.00383381565593276	2.73904589883316	0.467	0.053	1	"Ast"	"MEG3"	"Cerebellar Hemisphere"
"COL5A3"	0.00552139759161591	-3.44689571237734	0	0.421	1	"Ast"	"COL5A3"	"Cerebellar Hemisphere"
"CAMK2D"	0.00815469498855737	2.86530115479392	0.333	0	1	"Ast"	"CAMK2D"	"Cerebellar Hemisphere"
"DCAF10"	0.00815469498855737	2.90489049465585	0.333	0	1	"Ast"	"DCAF10"	"Cerebellar Hemisphere"
"KCNJ3"	0.00815469498855737	3.57449452018026	0.333	0	1	"Ast"	"KCNJ3"	"Cerebellar Hemisphere"
"LPP"	0.00815469498855737	3.46447245861145	0.333	0	1	"Ast"	"LPP"	"Cerebellar Hemisphere"
"SLC4A4"	0.008262768403384	-1.83425823975021	0.4	0.789	1	"Ast"	"SLC4A4"	"Cerebellar Hemisphere"
"ANKS1B"	0.00928340756807412	-1.71073401701763	0.333	0.684	1	"Ast"	"ANKS1B"	"Cerebellar Hemisphere"
"CCDC129"	0.0107098914657262	-4.02340040296132	0	0.368	1	"Ast"	"CCDC129"	"Cerebellar Hemisphere"
"PRKG1"	0.0159656513882534	1.2789754856842	0.733	0.316	1	"Ast"	"PRKG1"	"Cerebellar Hemisphere"
"GFAP"	0.0166715834095967	1.45004354711991	0.733	0.421	1	"Ast"	"GFAP"	"Cerebellar Hemisphere"
"NCKAP5"	0.017512566760011	-1.82900738747894	0.133	0.526	1	"Ast"	"NCKAP5"	"Cerebellar Hemisphere"
"FAM179A"	0.0178951696360305	-3.04328489959491	0.067	0.421	1	"Ast"	"FAM179A"	"Cerebellar Hemisphere"
"ADCY8"	0.0201234263275435	2.66294022907498	0.267	0	1	"Ast"	"ADCY8"	"Cerebellar Hemisphere"
