"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"
"MTCO2P12"	6.81355607728337e-68	-2.0723055901326	0.066	0.424	3.87057680082236e-63	"Mig"	"MTCO2P12"
"ERCC-00046"	8.50793187716504e-56	-0.659253286349707	0.984	0.999	4.83310086146114e-51	"Mig"	"ERCC-00046"
"ERCC-00004"	2.26233605667281e-42	-0.505113298831268	0.997	1	1.28516524371412e-37	"Mig"	"ERCC-00004"
"ERCC-00171"	3.69713137266354e-27	-0.456880773918498	0.973	0.999	2.10022941886897e-22	"Mig"	"ERCC-00171"
"MTRNR2L1"	2.27488349580318e-26	1.41200338423212	0.371	0.161	1.29229306746091e-21	"Mig"	"MTRNR2L1"
"HLA-DRB5"	2.03746091704046e-24	2.10313328043396	0.187	0.03	1.15742042314318e-19	"Mig"	"HLA-DRB5"
"RGS1"	1.55613176803962e-23	1.83913042135441	0.25	0.069	8.83991773470269e-19	"Mig"	"RGS1"
"ERCC-00096"	2.64586382964102e-21	-0.317192675000449	1	1	1.50303586570418e-16	"Mig"	"ERCC-00096"
"ERCC-00003"	3.85255270583338e-20	-0.480308754736592	0.824	0.93	2.18851961560277e-15	"Mig"	"ERCC-00003"
"ERCC-00074"	1.6213337888287e-18	-0.383973547053021	1	1	9.21031085419918e-14	"Mig"	"ERCC-00074"
"ERCC-00113"	1.76938785529221e-17	-0.293456436301534	0.995	1	1.00513615895584e-12	"Mig"	"ERCC-00113"
"ERCC-00002"	1.09102262396287e-16	-0.242508539520784	1	1	6.19777221994587e-12	"Mig"	"ERCC-00002"
"ERCC-00043"	4.3506087004899e-15	-0.393942344007986	0.7	0.846	2.4714502844873e-10	"Mig"	"ERCC-00043"
"ERCC-00108"	4.77795926901528e-15	-0.365321995280733	0.747	0.922	2.71421532194951e-10	"Mig"	"ERCC-00108"
"PDK4"	5.59889470268584e-15	1.61373227669414	0.17	0.051	3.18056411375475e-10	"Mig"	"PDK4"
"ERCC-00111"	1.3081409241465e-13	-0.425143530445655	0.64	0.801	7.431156147799e-09	"Mig"	"ERCC-00111"
"CEBPD"	4.81131380173023e-13	1.34350364833157	0.165	0.054	2.73316303134889e-08	"Mig"	"CEBPD"
"ERCC-00042"	1.24029402228796e-12	-0.428143395764293	0.601	0.75	7.04573825241123e-08	"Mig"	"ERCC-00042"
"ERCC-00009"	1.58550496156258e-12	-0.401998926883997	0.724	0.868	9.00677803514856e-08	"Mig"	"ERCC-00009"
"ERCC-00130"	3.25197459521136e-12	-0.293087403893843	1	1	1.84734920830171e-07	"Mig"	"ERCC-00130"
"SPP1"	3.77443837576988e-12	0.545682323829022	0.724	0.606	2.1441452081236e-07	"Mig"	"SPP1"
"ERCC-00136"	1.10497722966839e-11	-0.293797210293007	0.975	0.99	6.27704414857721e-07	"Mig"	"ERCC-00136"
"ERCC-00095"	2.38869218724689e-11	-0.562102474749131	0.221	0.382	1.35694437080934e-06	"Mig"	"ERCC-00095"
"ERCC-00060"	5.54575009794732e-11	-0.699638376877465	0.228	0.382	3.15037425814094e-06	"Mig"	"ERCC-00060"
"HSPA1A"	1.19919004647147e-10	-0.752384213463875	0.112	0.232	6.81223889699045e-06	"Mig"	"HSPA1A"
"MTRNR2L10"	1.94507813842682e-10	0.751238077462819	0.119	0.035	1.10494053809612e-05	"Mig"	"MTRNR2L10"
"ERCC-00145"	3.40385769354397e-10	-0.321910001504087	0.632	0.803	1.93362943997152e-05	"Mig"	"ERCC-00145"
"MT-RNR1"	3.78341417871789e-10	-0.33056800030448	0.897	0.939	2.14924409250427e-05	"Mig"	"MT-RNR1"
"IFNGR1"	3.61331828271901e-09	0.537228047057044	0.707	0.615	0.000205261771686419	"Mig"	"IFNGR1"
"CH25H"	3.65688840049866e-09	0.75566858812581	0.508	0.378	0.000207736859367127	"Mig"	"CH25H"
"ERCC-00071"	1.28572270944276e-08	-0.333930198967286	0.092	0.196	0.000730380499553146	"Mig"	"ERCC-00071"
"ERCC-00076"	1.3095952147426e-08	-0.381990061718576	0.26	0.408	0.000743941753638829	"Mig"	"ERCC-00076"
"CD83"	1.9857882197778e-08	0.671135369211532	0.284	0.168	0.00112806671400917	"Mig"	"CD83"
