"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"LINGO1"	3.72934094672641e-90	3.29375012679459	0.953	0.401	4.01426259505631e-86	"Ast"	"LINGO1"	"70-80"	"male"
"NEAT1"	2.70451080772597e-65	2.31178044808908	0.973	0.794	2.91113543343623e-61	"Ast"	"NEAT1"	"70-80"	"male"
"MT-ND2"	7.52499599069468e-57	2.8348352326096	0.689	0.192	8.09990568438375e-53	"Ast"	"MT-ND2"	"70-80"	"male"
"PTGDS"	4.77137014297605e-55	1.63489509726069	0.98	0.944	5.13590282189942e-51	"Ast"	"PTGDS"	"70-80"	"male"
"MT-ND3"	1.86645813955742e-54	2.83384975303135	0.628	0.151	2.00905554141961e-50	"Ast"	"MT-ND3"	"70-80"	"male"
"MT-ND1"	1.34139560631088e-53	2.7219703722974	0.547	0.113	1.44387823063303e-49	"Ast"	"MT-ND1"	"70-80"	"male"
"MT-CO2"	2.42249813001079e-50	2.72598351761849	0.736	0.27	2.60757698714361e-46	"Ast"	"MT-CO2"	"70-80"	"male"
"RP11-403A3.3"	4.0548000477114e-44	1.52334335077869	0.155	0.003	4.36458677135656e-40	"Ast"	"RP11-403A3.3"	"70-80"	"male"
"MT-ATP6"	2.87350559961932e-43	2.58837063211236	0.595	0.169	3.09304142743024e-39	"Ast"	"MT-ATP6"	"70-80"	"male"
"MT-ND4"	3.00238077545181e-42	2.42175510071457	0.757	0.324	3.23176266669633e-38	"Ast"	"MT-ND4"	"70-80"	"male"
"RNF219-AS1"	2.76426224676596e-40	-1.72485020761457	0.324	0.884	2.97545188241888e-36	"Ast"	"RNF219-AS1"	"70-80"	"male"
"LINC00486"	1.57538511661023e-39	1.19559550662947	0.959	0.992	1.69574453951925e-35	"Ast"	"LINC00486"	"70-80"	"male"
"MT-CYB"	2.36337831147546e-39	2.61295964146746	0.595	0.19	2.54394041447218e-35	"Ast"	"MT-CYB"	"70-80"	"male"
