"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"
"DDX3Y"	5.97351858637488e-15	-0.901233481379411	0	0.667	1.43471969407552e-10	"Ast"	"DDX3Y"
"PRG2"	5.97351858637488e-15	-0.751415542460277	0	0.667	1.43471969407552e-10	"Ast"	"PRG2"
"PGAM4"	2.47895326776808e-12	-0.37868629374623	0.034	0.833	5.95394995852538e-08	"Ast"	"PGAM4"
"KRT7"	9.08548120205686e-12	-0.0352706485426499	0.011	0.667	2.18215087511002e-07	"Ast"	"KRT7"
"AOC1"	1.85921636049653e-11	-0.0521205546941857	0	0.5	4.46546585464057e-07	"Ast"	"AOC1"
"EIF1AY"	1.85921636049653e-11	-0.670462306826696	0	0.5	4.46546585464057e-07	"Ast"	"EIF1AY"
"LOC101929295"	1.85921636049653e-11	-0.128559551615889	0	0.5	4.46546585464057e-07	"Ast"	"LOC101929295"
"USH2A"	9.58234219063564e-09	-0.0253751735122391	0.011	0.5	0.000230148694734687	"Ast"	"USH2A"
"ZNF488"	9.58234219063564e-09	-0.0241008369384807	0.011	0.5	0.000230148694734687	"Ast"	"ZNF488"
"ATP6V1C2"	5.18505349885429e-08	-0.0197332164709749	0	0.333	0.00124534614935482	"Ast"	"ATP6V1C2"
"C2orf70"	5.18505349885429e-08	-0.0284028340357872	0	0.333	0.00124534614935482	"Ast"	"C2orf70"
"CATSPER3"	5.18505349885429e-08	-0.0283359397294945	0	0.333	0.00124534614935482	"Ast"	"CATSPER3"
"EGFR-AS1"	5.18505349885429e-08	-0.013562312246588	0	0.333	0.00124534614935482	"Ast"	"EGFR-AS1"
"GTSF1"	5.18505349885429e-08	-0.0152351452194717	0	0.333	0.00124534614935482	"Ast"	"GTSF1"
"HLA-G"	5.18505349885429e-08	-0.0222689802643194	0	0.333	0.00124534614935482	"Ast"	"HLA-G"
"LINC01573"	5.18505349885429e-08	-0.289555621017397	0	0.333	0.00124534614935482	"Ast"	"LINC01573"
"MAG"	5.18505349885429e-08	-0.340197501767709	0	0.333	0.00124534614935482	"Ast"	"MAG"
"PRKY"	5.18505349885429e-08	-0.0126438494598151	0	0.333	0.00124534614935482	"Ast"	"PRKY"
"SENP3"	5.18505349885429e-08	-0.0533539491277133	0	0.333	0.00124534614935482	"Ast"	"SENP3"
"SFTPC"	5.18505349885429e-08	-0.0477539234991471	0	0.333	0.00124534614935482	"Ast"	"SFTPC"
"ZFY"	5.18505349885429e-08	-0.166343595424788	0	0.333	0.00124534614935482	"Ast"	"ZFY"
"CSH1"	7.26865721873345e-08	-0.228660508513022	0.045	0.667	0.0017457860907954	"Ast"	"CSH1"
"CCDC152"	3.68880161986819e-06	-0.721625268673451	0.112	0.833	0.0885976373059942	"Ast"	"CCDC152"
"ALG1L"	1.251819004253e-05	-0.0985551790063786	0.011	0.333	0.300661888441487	"Ast"	"ALG1L"
"KCNN4"	1.251819004253e-05	-0.726059098517942	0.011	0.333	0.300661888441487	"Ast"	"KCNN4"
"LINC00620"	1.57548831844677e-05	-0.0898941450841499	0.011	0.333	0.378400784324544	"Ast"	"LINC00620"
"PHLDA2"	1.57548831844677e-05	-0.0357827675640329	0.011	0.333	0.378400784324544	"Ast"	"PHLDA2"
"THSD1"	1.59905231924174e-05	-1.48719031789989	0.27	1	0.384060386035481	"Ast"	"THSD1"
"NAGPA"	2.09412307725293e-05	-0.874709225078163	0.09	0.667	0.502966480694608	"Ast"	"NAGPA"
"MOBP"	3.25943838263626e-05	-0.098667399481189	0.045	0.5	0.782851910741577	"Ast"	"MOBP"
"GPD1"	5.37387168929956e-05	-0.011181998490256	0.146	0.833	1	"Ast"	"GPD1"
"LAIR2"	6.72941103144508e-05	-0.0440903020619188	0.045	0.5	1	"Ast"	"LAIR2"
"HDDC3"	7.47304785652213e-05	-2.03009342670847	0.18	0.833	1	"Ast"	"HDDC3"
"GLIPR2"	9.44243611158278e-05	-0.385445626813804	0.146	0.833	1	"Ast"	"GLIPR2"
"MARCKS"	9.86914099157224e-05	2.3430250739678	1	0.833	1	"Ast"	"MARCKS"
"ACTA2"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"ACTA2"
"ADAMTSL4"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"ADAMTSL4"
"ADGRF3"	0.000140020280674109	-0.0306688016734746	0	0.167	1	"Ast"	"ADGRF3"
"AFAP1-AS1"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"AFAP1-AS1"
"ARSF"	0.000140020280674109	-0.00586504644579678	0	0.167	1	"Ast"	"ARSF"
"ATP6V0A4"	0.000140020280674109	-0.00879189822530828	0	0.167	1	"Ast"	"ATP6V0A4"
"AURKAPS1"	0.000140020280674109	-0.00772853766209963	0	0.167	1	"Ast"	"AURKAPS1"
"BARX2"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"BARX2"
"C11orf44"	0.000140020280674109	-0.0123245868724579	0	0.167	1	"Ast"	"C11orf44"
"C16orf89"	0.000140020280674109	-0.232863886079467	0	0.167	1	"Ast"	"C16orf89"
"C5orf38"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"C5orf38"
"C9orf41"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"C9orf41"
"CCDC134"	0.000140020280674109	-0.0771046417025945	0	0.167	1	"Ast"	"CCDC134"
"CCNO"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"CCNO"
"CFAP52"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"CFAP52"
"CLDN11"	0.000140020280674109	-0.0413763673286217	0	0.167	1	"Ast"	"CLDN11"
"CLEC18C"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"CLEC18C"
"CNGA1"	0.000140020280674109	-0.215253393287987	0	0.167	1	"Ast"	"CNGA1"
"CNN1"	0.000140020280674109	-0.391489483326848	0	0.167	1	"Ast"	"CNN1"
"CTNND1"	0.000140020280674109	-0.220382616569073	0	0.167	1	"Ast"	"CTNND1"
"DCDC2"	0.000140020280674109	-0.0966011729865271	0	0.167	1	"Ast"	"DCDC2"
"DHRS2"	0.000140020280674109	-0.0139243918571702	0	0.167	1	"Ast"	"DHRS2"
"DSCR8"	0.000140020280674109	-0.0123245868724579	0	0.167	1	"Ast"	"DSCR8"
"DSE"	0.000140020280674109	-0.0319666318922865	0	0.167	1	"Ast"	"DSE"
"EMILIN3"	0.000140020280674109	-0.262562014863155	0	0.167	1	"Ast"	"EMILIN3"
"EVC"	0.000140020280674109	-0.00878865255519457	0	0.167	1	"Ast"	"EVC"
"EXOC3L2"	0.000140020280674109	-1.10788714275142	0	0.167	1	"Ast"	"EXOC3L2"
"FCGR2B"	0.000140020280674109	-0.00772853766209963	0	0.167	1	"Ast"	"FCGR2B"
"FER1L5"	0.000140020280674109	-0.057604360954533	0	0.167	1	"Ast"	"FER1L5"
"FGA"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"FGA"
"FLJ37035"	0.000140020280674109	-0.0800171577488856	0	0.167	1	"Ast"	"FLJ37035"
"FOXN3-AS1"	0.000140020280674109	-0.269891998572809	0	0.167	1	"Ast"	"FOXN3-AS1"
"GDF5"	0.000140020280674109	-0.215253393287987	0	0.167	1	"Ast"	"GDF5"
"GGT6"	0.000140020280674109	-0.0139243918571702	0	0.167	1	"Ast"	"GGT6"
"GPR3"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"GPR3"
"GRB7"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"GRB7"
"GSTA1"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"GSTA1"
"GTF3C4"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"GTF3C4"
"HESX1"	0.000140020280674109	-0.179374087980831	0	0.167	1	"Ast"	"HESX1"
"HIPK1-AS1"	0.000140020280674109	-0.00879189822530828	0	0.167	1	"Ast"	"HIPK1-AS1"
"HIST2H2BA"	0.000140020280674109	-0.0233184681409665	0	0.167	1	"Ast"	"HIST2H2BA"
"HIST2H2BF"	0.000140020280674109	-0.269891998572809	0	0.167	1	"Ast"	"HIST2H2BF"
"HNRNPA3P1"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"HNRNPA3P1"
"HRAT5"	0.000140020280674109	-0.220306936086937	0	0.167	1	"Ast"	"HRAT5"
"HSD3B1"	0.000140020280674109	-0.00772853766209963	0	0.167	1	"Ast"	"HSD3B1"
"IL1R2"	0.000140020280674109	-0.0123245868724579	0	0.167	1	"Ast"	"IL1R2"
"ISM2"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"ISM2"
"KIF12"	0.000140020280674109	-0.00879189822530828	0	0.167	1	"Ast"	"KIF12"
"KLK6"	0.000140020280674109	-0.0277156740216291	0	0.167	1	"Ast"	"KLK6"
"LEFTY2"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"LEFTY2"
"LIN28A"	0.000140020280674109	-0.015415893950287	0	0.167	1	"Ast"	"LIN28A"
"LINC00173"	0.000140020280674109	-0.142579670412182	0	0.167	1	"Ast"	"LINC00173"
"LINC00189"	0.000140020280674109	-0.00879189822530828	0	0.167	1	"Ast"	"LINC00189"
"LINC00463"	0.000140020280674109	-0.230361224331973	0	0.167	1	"Ast"	"LINC00463"
"LINC00945"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"LINC00945"
"LINC01600"	0.000140020280674109	-0.00586504644579678	0	0.167	1	"Ast"	"LINC01600"
"LOC100128176"	0.000140020280674109	-0.011706345987958	0	0.167	1	"Ast"	"LOC100128176"
"LOC100132111"	0.000140020280674109	-0.00772853766209963	0	0.167	1	"Ast"	"LOC100132111"
"LOC100134317"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"LOC100134317"
"LOC100288748"	0.000140020280674109	-0.0123245868724579	0	0.167	1	"Ast"	"LOC100288748"
"LOC101928161"	0.000140020280674109	-0.265964222849785	0	0.167	1	"Ast"	"LOC101928161"
"LOC101929374"	0.000140020280674109	-0.0123245868724579	0	0.167	1	"Ast"	"LOC101929374"
"LOC102723854"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"LOC102723854"
"LOC102724163"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"LOC102724163"
"LOC152578"	0.000140020280674109	-0.0139243918571702	0	0.167	1	"Ast"	"LOC152578"
"LOXL4"	0.000140020280674109	-0.0319666318922865	0	0.167	1	"Ast"	"LOXL4"
"LY6G6D"	0.000140020280674109	-0.260110387563241	0	0.167	1	"Ast"	"LY6G6D"
"M1AP"	0.000140020280674109	-0.00879189822530828	0	0.167	1	"Ast"	"M1AP"
"MAL"	0.000140020280674109	-0.00586504644579678	0	0.167	1	"Ast"	"MAL"
"MCEMP1"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"MCEMP1"
"MKX"	0.000140020280674109	-0.00878865255519457	0	0.167	1	"Ast"	"MKX"
"NBPF9"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"NBPF9"
"NLGN4Y"	0.000140020280674109	-0.220172012981806	0	0.167	1	"Ast"	"NLGN4Y"
"NLRP11"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"NLRP11"
"NLRP14"	0.000140020280674109	-0.0290896669093624	0	0.167	1	"Ast"	"NLRP14"
"NOTUM"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"NOTUM"
"OOSP1"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"OOSP1"
"OR2L13"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"OR2L13"
"OR7E156P"	0.000140020280674109	-0.00879189822530828	0	0.167	1	"Ast"	"OR7E156P"
"OR7E47P"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"OR7E47P"
"OSMR-AS1"	0.000140020280674109	-0.0366623301868185	0	0.167	1	"Ast"	"OSMR-AS1"
"OTOF"	0.000140020280674109	-0.0204241881788365	0	0.167	1	"Ast"	"OTOF"
"OTX2"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"OTX2"
"P4HA2-AS1"	0.000140020280674109	-0.045762133524121	0	0.167	1	"Ast"	"P4HA2-AS1"
"PADI6"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"PADI6"
"PAEP"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"PAEP"
"PAPPA"	0.000140020280674109	-0.00772853766209963	0	0.167	1	"Ast"	"PAPPA"
"PCDHGB1"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"PCDHGB1"
"PGC"	0.000140020280674109	-0.0139243918571702	0	0.167	1	"Ast"	"PGC"
"PIFO"	0.000140020280674109	-0.00293550364713468	0	0.167	1	"Ast"	"PIFO"
"PIWIL3"	0.000140020280674109	-0.00494166868113737	0	0.167	1	"Ast"	"PIWIL3"
"PKP3"	0.000140020280674109	-0.469148084245693	0	0.167	1	"Ast"	"PKP3"
"PLIN1"	0.000140020280674109	-0.528693133541103	0	0.167	1	"Ast"	"PLIN1"
"PPAP2C"	0.000140020280674109	-0.0139243918571702	0	0.167	1	"Ast"	"PPAP2C"
